track_artist,track_name,energy,tempo,danceability,playlist_genre,loudness,liveness,valence,speechiness,track_popularity,playlist_name,track_album_release_date,instrumentalness,key,duration_ms,acousticness,playlist_subgenre
Michael Jackson,Billie Jean,0.654,117.046,0.92,pop,-3.051,0.036,0.847,0.0401,77,Throwback Party,2008-02-08,0.0153,11,293827,0.0236,throwback
"Offset, Travis Scott",SAY MY GRACE (feat. Travis Scott),0.631,121.854,0.772,hip-hop,-5.082,0.129,0.433,0.0431,70,Gangster Rap,2023-10-13,0.0,10,173253,0.0648,gangster
Justin Timberlake,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",0.83,113.03,0.666,pop,-5.715,0.191,0.702,0.0751,76,Throwback Party,2016-05-06,0.0,0,236002,0.0123,throwback
Myles Smith,My Home,0.485,95.968,0.753,folk,-9.431,0.192,0.547,0.035,73,Indie Folk,2023-10-13,0.00104,11,206250,0.345,indie
"Zedd, Alessia Cara",Stay,0.622,102.04,0.69,electronic,-5.025,0.116,0.544,0.0622,73,EDM Hits,2017-02-23,0.0,5,210091,0.253,modern
"Asake, Wizkid",MMS,0.634,101.837,0.502,arabic,-3.367,0.188,0.645,0.144,72,Arab X,2024-08-08,0.0341,8,219628,0.677,modern
Lenny Kravitz,Are You Gonna Go My Way,0.67,129.269,0.619,rock,-10.322,0.331,0.777,0.0353,71,Rock Classics,1993-03-09,0.0109,11,211933,0.00165,classic
Pantera,Cowboys from Hell,0.908,114.816,0.415,metal,-9.701,0.082,0.437,0.0765,71,Metal Essentials,1990-07-20,0.0345,2,243533,0.00437,classic
Paramore,Misery Business,0.906,172.977,0.517,punk,-3.677,0.113,0.731,0.0735,73,Pop Punk Powerhouses,2007-06-11,9.26e-06,1,211520,0.00272,pop punk
"Nelly, Kelly Rowland",Dilemma,0.552,168.19,0.727,r&b,-8.074,0.198,0.607,0.14,77,R&B Hits,2002-06-25,0.00016,2,289160,0.226,modern
"The Alchemist, Boldy James",Ocean Prime (feat. Boldy James),0.604,49.305,0.583,hip-hop,-8.437,0.724,0.691,0.456,68,Chill Hop,2019-08-30,0.0,2,99907,0.735,chill
"Queen, David Bowie",Under Pressure - Remastered 2011,0.712,113.805,0.671,rock,-7.815,0.103,0.462,0.0476,79,80s Rock Anthems,1982-05-03,0.0,2,248440,0.429,80s
Ayra Starr,Rush,0.503,99.97,0.792,latin,-8.044,0.0959,0.381,0.0626,68,Afro-Latin Party,2022-09-16,0.00057,1,185093,0.0369,afro-latin
TOTO,Africa,0.373,92.718,0.671,rock,-18.064,0.0481,0.732,0.0323,83,80s Rock Anthems,1982-04-08,8.01e-05,9,295893,0.257,80s
NAYEON,ABCD,0.926,105.969,0.682,k-pop,-2.515,0.19,0.86,0.0607,73,K-Pop Daebak,2024-06-14,0.0,3,162840,0.0404,modern
George Strait,Amarillo By Morning,0.361,121.059,0.606,country,-16.031,0.38,0.621,0.0346,70,Classic Country,1982-01-01,3.39e-05,9,173467,0.264,classic
"Omar Courtz, De La Rose",Q U E V A S H A C E R H O Y ?,0.681,155.079,0.56,pop,-6.304,0.106,0.388,0.244,89,Today's Top Hits,2024-09-20,0.0,6,223320,0.103,mainstream
"Travis Scott, Justin Bieber, Young Thug",Maria I'm Drunk (feat. Justin Bieber & Young Thug),0.631,105.989,0.648,hip-hop,-5.662,0.12,0.142,0.104,71,Melodic Rap,2015-09-04,0.0,4,349933,0.38,melodic
"Pitbull, Christina Aguilera",Feel This Moment (feat. Christina Aguilera),0.758,135.956,0.673,pop,-3.632,0.341,0.542,0.158,77,Throwback Party,2012,0.0,7,229507,0.039,throwback
Wizkid,Kese (Dance),0.874,118.079,0.774,arabic,-5.641,0.413,0.927,0.0488,75,Arab X,2024-11-15,0.34,5,174053,0.142,modern
Luke Combs,Fast Car,0.603,97.994,0.712,pop,-5.52,0.115,0.67,0.0262,82,Soft Pop Hits,2023-03-24,0.0,8,265493,0.186,soft
"Future, Metro Boomin, Kendrick Lamar",Like That,0.676,162.012,0.814,hip-hop,-4.67,0.119,0.312,0.231,83,Trap,2024-03-22,1.28e-05,11,267707,0.00709,trap
"Shouse, David Guetta",Love Tonight (David Guetta Remix Edit),0.989,126.002,0.621,electronic,-4.225,0.184,0.0348,0.0434,74,EDM Hits,2021-06-11,0.357,10,158095,0.015,modern
"R3HAB, A Touch Of Class",All Around The World (La La La),0.859,124.948,0.733,pop,-5.03,0.105,0.52,0.033,71,Throwback Party,2019-04-05,0.0645,9,147840,0.479,throwback
Bob Marley & The Wailers,Buffalo Soldier,0.463,124.084,0.929,reggae,-8.651,0.0634,0.755,0.308,70,Reggae Classics,1983-05-23,5.3e-06,9,255840,0.143,classic
AC/DC,Thunderstruck,0.89,133.52,0.502,rock,-5.175,0.217,0.259,0.0364,83,Rock Classics,1990-09-24,0.0117,4,292880,0.000147,classic
Pink Floyd,"Another Brick in the Wall, Pt. 2",0.394,104.114,0.693,rock,-15.882,0.247,0.721,0.0428,74,Rock Classics,1979-11-30,0.000694,0,238747,0.0782,classic
Bad Bunny,Agosto,0.584,115.018,0.849,latin,-8.195,0.492,0.724,0.115,71,Reggaeton Hits,2022-05-06,6.18e-06,1,139041,0.0929,reggaeton
Ichiss,WHINE IN BRAZIL FUNK,0.907,117.054,0.863,brazilian,-5.077,0.182,0.304,0.295,72,Brazilian Funk,2024-07-09,0.000813,4,107971,0.0683,funk
"KayBlack, Wall Hein, AMUSIK",Maturidade,0.411,172.445,0.722,hip-hop,-9.963,0.0976,0.503,0.387,70,Trap,2022-09-08,0.0,2,142026,0.509,trap
"Travis Scott, Playboi Carti",FE!N (feat. Playboi Carti),0.882,148.038,0.569,gaming,-2.777,0.142,0.201,0.06,88,Top Gaming Tracks,2023-07-28,0.0,3,191701,0.0316,modern
XXXTENTACION,Moonlight,0.537,128.009,0.921,gaming,-5.723,0.102,0.711,0.0804,81,Top Gaming Tracks,2018-03-16,0.00404,9,135090,0.556,modern
The Cars,Just What I Needed,0.579,127.215,0.62,rock,-9.307,0.0858,0.691,0.0473,69,Rock Classics,1978-06-06,6.4e-05,4,225627,0.0152,classic
Red Hot Chili Peppers,Scar Tissue,0.717,88.969,0.595,rock,-4.803,0.108,0.547,0.0295,82,Alternative Rock,1999-06-08,0.00274,0,215907,0.0779,alternative
SZA,Snooze,0.551,143.008,0.559,r&b,-7.231,0.11,0.392,0.132,86,R&B Hits,2022-12-09,0.0,5,201800,0.141,modern
"Post Malone, Morgan Wallen",I Had Some Help (Feat. Morgan Wallen),0.855,127.986,0.638,pop,-4.86,0.245,0.731,0.0264,84,Today's Top Hits,2024-05-10,0.0,7,178206,0.00757,mainstream
Deftones,My Own Summer (Shove It),0.781,71.841,0.443,metal,-4.277,0.166,0.372,0.0377,77,Death Metal Essentials,1997-10-27,0.205,1,214760,1.33e-05,death
Aqua,Barbie Girl,0.879,129.991,0.812,pop,-10.998,0.365,0.962,0.0397,74,Throwback Party,1997-01-01,0.224,1,197960,0.017,throwback
Juice WRLD,All Girls Are The Same,0.529,161.989,0.671,arabic,-7.226,0.0856,0.203,0.307,83,Arab X,2018-12-10,0.000335,0,165820,0.0769,modern
Tito Double P,EL LOKERON,0.689,120.208,0.724,pop,-7.174,0.0922,0.936,0.0524,89,Global Top 50,2024-08-22,6.77e-06,7,146141,0.573,global
"Lana Del Rey, Cedric Gervais",Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,0.81,126.052,0.572,electronic,-5.791,0.13,0.11,0.0558,72,EDM Hits,2013-02-01,6.53e-06,1,214912,0.0157,modern
"Post Malone, Swae Lee",Sunflower - Spider-Man: Into the Spider-Verse,0.522,89.96,0.755,gaming,-4.368,0.0685,0.925,0.0575,82,Top Gaming Tracks,2019-09-06,0.0,2,157560,0.533,modern
"ROSÉ, Bruno Mars",APT.,0.783,149.027,0.777,pop,-4.477,0.355,0.939,0.26,98,Global Top 50,2024-10-18,0.0,0,169917,0.0283,global
"Kina, Adriana Proenza",Can We Kiss Forever?,0.128,109.986,0.522,lofi,-18.717,0.0941,0.124,0.0357,70,Lofi Hip Hop,2018-08-31,0.026,4,187932,0.894,hip-hop
Queen,Another One Bites The Dust - Remastered 2011,0.528,109.975,0.932,rock,-6.472,0.163,0.757,0.161,71,Rock Classics,1980-06-27,0.329,5,214653,0.115,classic
Alicia Keys,No One,0.549,90.04,0.644,blues,-5.415,0.134,0.167,0.0285,71,Classic Blues,2007-11-09,8.85e-06,1,253813,0.0209,classic
"Ryan Castro, Peso Pluma, SOG",QUEMA,0.892,97.008,0.791,latin,-2.58,0.0609,0.916,0.0521,74,Reggaeton Hits,2023-07-13,0.000355,0,150619,0.0509,reggaeton
girl in red,i wanna be your girlfriend,0.382,155.901,0.541,pop,-14.323,0.304,0.343,0.035,73,Bedroom Pop,2018-03-02,0.000836,7,204991,0.0215,bedroom
"Bad Bunny, Mora",Una Vez,0.598,83.836,0.55,latin,-5.402,0.0955,0.543,0.0831,74,Reggaeton Hits,2020-02-29,2.58e-06,11,232496,0.132,reggaeton
Olly Alexander (Years & Years),King,0.857,119.975,0.56,pop,-4.145,0.381,0.432,0.0384,73,Throwback Party,2015-07-10,0.0,4,215360,0.0594,throwback
Lil Uzi Vert,XO Tour Llif3,0.75,155.096,0.732,gaming,-6.366,0.109,0.401,0.231,81,Top Gaming Tracks,2017-08-25,0.0,11,182707,0.00264,modern
Jaguares,Te Lo Pido por Favor,0.659,106.196,0.648,rock,-6.369,0.19,0.532,0.0259,68,Spanish Rock Classics,2002-10-22,0.000307,2,206133,0.115,spanish
Sleepy Hallow,2055,0.512,80.511,0.829,gaming,-5.865,0.12,0.638,0.187,80,Top Gaming Tracks,2021-06-02,0.0,6,123987,0.492,modern
Gunna,fukumean,0.622,130.001,0.847,arabic,-6.747,0.285,0.22,0.0903,82,Arab X,2023-06-16,0.0,1,125040,0.119,modern
Heroes Del Silencio,Maldito duende,0.85,125.796,0.374,rock,-5.657,0.116,0.348,0.0404,68,Spanish Rock Classics,1990,0.0,4,253187,0.0904,spanish
Stromae,Alors on danse - Radio Edit,0.593,119.958,0.79,electronic,-9.204,0.065,0.72,0.0776,75,French Touch,2010-01-01,0.00202,1,206067,0.0983,french
Ricky Martin,Livin' la Vida Loca,0.954,178.043,0.425,pop,-3.756,0.0555,0.933,0.0476,73,Throwback Party,1999,0.0,1,243160,0.00414,throwback
My Chemical Romance,I'm Not Okay (I Promise),0.94,179.722,0.21,punk,-3.427,0.269,0.255,0.123,74,Pop Punk Powerhouses,2004-06-08,0.0,9,186480,0.00602,pop punk
Blue Öyster Cult,(Don't Fear) The Reaper,0.927,141.466,0.333,rock,-8.55,0.297,0.385,0.0733,75,Rock Classics,1976,0.000208,9,308120,0.0029,classic
Van Halen,Jump - 2015 Remaster,0.835,129.981,0.572,rock,-6.219,0.0702,0.795,0.0317,75,80s Rock Anthems,1984-01-04,0.000377,0,241600,0.171,80s
Stevie Nicks,Edge of Seventeen - 2016 Remaster,0.804,111.457,0.591,rock,-7.299,0.0818,0.658,0.0454,69,80s Rock Anthems,1981-07-27,5.98e-06,0,329413,0.327,80s
Audioslave,Like a Stone,0.568,107.849,0.614,rock,-5.477,0.0997,0.516,0.0276,77,Alternative Rock,2002-11-17,0.0,7,293960,0.00797,alternative
The Smiths,How Soon Is Now? - 2011 Remaster,0.93,190.818,0.398,rock,-6.76,0.0874,0.725,0.0615,71,80s Rock Anthems,1984,0.121,11,408173,0.000854,80s
"Imanbek, BYOR",Belly Dancer,0.797,121.985,0.845,electronic,-4.984,0.167,0.422,0.139,77,Techno Bunker,2022-02-18,5.57e-06,1,151475,0.0582,techno
"Pritam, Arijit Singh",Khairiyat,0.481,124.914,0.534,indian,-9.016,0.142,0.293,0.0412,71,Bollywood Butter,2019-08-31,0.0,0,280282,0.697,bollywood
"Arcángel, Bad Bunny",Me Acostumbre (feat. Bad Bunny),0.586,124.041,0.808,hip-hop,-7.242,0.14,0.568,0.169,68,Trap,2017-04-11,0.0,10,263288,0.641,trap
Piso 21,Tan Bonita,0.804,110.982,0.82,latin,-7.226,0.064,0.844,0.0528,68,Chill Spanish Vibes,2021-03-18,0.00215,9,211998,0.175,chill
"Zerb, Sofiya Nzau",Mwaki,0.637,120.033,0.847,electronic,-8.751,0.121,0.0509,0.0587,74,Techno Bunker,2023-10-27,0.201,7,208135,0.201,techno
Alice In Chains,Would? (2022 Remaster),0.842,100.127,0.297,rock,-7.457,0.0848,0.586,0.0488,72,Rock Classics,1992-09-29,9.1e-06,6,206773,0.000286,classic
Ice Cube,It Was A Good Day,0.744,82.356,0.798,hip-hop,-5.328,0.292,0.794,0.136,78,Chill Hop,1992-11-17,0.000106,7,260000,0.33,chill
Bon Jovi,Livin' On A Prayer,0.887,122.509,0.532,pop,-3.757,0.294,0.794,0.0335,83,Throwback Party,1986-08-16,0.000206,0,249293,0.0778,throwback
J Balvin,Ay Vamos,0.711,173.916,0.718,latin,-5.746,0.1,0.92,0.11,72,Reggaeton Hits,2014-09-12,5.52e-05,8,226413,0.157,reggaeton
HYBS,Tip Toe,0.486,163.9,0.687,pop,-8.673,0.115,0.792,0.0579,76,Bedroom Pop,2023-06-20,0.126,11,224726,0.587,bedroom
"Myke Towers, benny blanco",DEGENERE 👑 (feat. benny blanco),0.709,194.055,0.744,latin,-5.778,0.0847,0.712,0.284,79,Viva Latino,2024-10-16,0.0,6,130880,0.0501,modern
"Bad Bunny, ROSALÍA",LA NOCHE DE ANOCHE,0.618,81.993,0.856,latin,-4.892,0.0866,0.391,0.286,74,Reggaeton Hits,2020-11-27,0.0,7,203201,0.0303,reggaeton
Travis Scott,MY EYES,0.621,119.043,0.455,hip-hop,-7.694,0.123,0.28,0.0517,82,Chill Hop,2023-07-28,2.59e-06,0,251250,0.651,chill
"¥$, Playboi Carti, Don Toliver, Kodak Black",FIELD TRIP,0.685,121.991,0.731,hip-hop,-4.707,0.0865,0.458,0.12,72,RapCaviar,2024-08-03,0.0,11,167229,0.054,modern
Bad Bunny,TE MUDASTE,0.637,92.025,0.811,latin,-4.835,0.118,0.471,0.0591,72,Reggaeton Hits,2020-11-27,0.000572,10,130014,0.234,reggaeton
Billie Eilish,WILDFLOWER,0.247,148.101,0.467,pop,-12.002,0.17,0.126,0.0431,93,Global Top 50,2024-05-17,0.000271,6,261467,0.612,global
"Victor Mendivil, Oscar Maydon",Mejores Jordans,0.583,115.221,0.669,latin,-8.949,0.1,0.271,0.269,83,Reggaeton Hits,2024-07-30,2.54e-06,1,234716,0.603,reggaeton
Bad Bunny,La Zona,0.801,93.992,0.762,latin,-3.661,0.254,0.81,0.0409,68,Reggaeton Hits,2020-02-29,7.04e-05,1,136893,0.2,reggaeton
Outkast,ATLiens,0.734,97.044,0.918,hip-hop,-2.832,0.191,0.608,0.269,70,Chill Hop,1996-08-27,8.01e-06,11,230693,0.0296,chill
"Jasleen Royal, B Praak, Romy, Anvita Dutt","Ranjha (From ""Shershaah"")",0.573,82.941,0.603,indian,-5.843,0.0971,0.236,0.0502,68,Bollywood Butter,2021-08-05,0.0,1,228855,0.478,bollywood
Phil Collins,Against All Odds (Take a Look at Me Now) - 2016 Remaster,0.498,116.262,0.581,blues,-6.9,0.132,0.111,0.0276,74,Classic Blues,2016-10-14,0.0,1,206360,0.198,classic
Rihanna,Don't Stop The Music,0.669,122.669,0.834,pop,-5.582,0.0535,0.547,0.0637,79,Throwback Party,2008-06-02,7.18e-05,6,267080,0.0341,throwback
My Chemical Romance,Teenagers,0.857,111.647,0.463,punk,-3.063,0.184,0.856,0.0632,79,Pop Punk Powerhouses,2006-10-23,0.0,4,161920,0.0506,pop punk
Van Halen,You Really Got Me - 2015 Remaster,0.946,138.18,0.454,rock,-5.978,0.173,0.647,0.13,68,Rock Classics,1978-02-10,0.0,1,156147,0.0223,classic
XXXTENTACION,Everybody Dies In Their Nightmares,0.57,129.953,0.734,hip-hop,-7.066,0.112,0.689,0.133,81,Chill Hop,2017-08-25,2.14e-05,7,95467,0.847,chill
Taio Cruz,Dynamite,0.781,119.977,0.751,electronic,-3.724,0.036,0.814,0.0862,72,EDM Hits,2010-01-01,0.0,4,202613,0.0039,modern
"SativaMusic, Morad, GIMS",Seya,0.681,101.005,0.798,electronic,-4.818,0.137,0.434,0.0722,73,French Touch,2023-10-06,0.00197,10,188485,0.219,french
Yeah Yeah Yeahs,Maps,0.941,119.783,0.502,rock,-5.194,0.553,0.124,0.0716,75,Alternative Rock,2003-04-29,0.319,7,219987,0.000346,alternative
AC/DC,Highway to Hell,0.913,115.728,0.574,rock,-4.793,0.156,0.423,0.133,84,Rock Classics,1979-07-27,0.00158,6,208400,0.061,classic
Shakira,"Whenever, Wherever",0.832,107.657,0.794,pop,-4.862,0.203,0.871,0.0407,74,Throwback Party,2001-11-13,1.14e-05,1,196160,0.237,throwback
Youka,Hm Hm hm,0.637,171.264,0.567,afrobeats,-4.032,0.235,0.882,0.298,68,Afro Hits,2024-07-05,0.0346,9,131765,0.499,nigerian
"Asake, Wizkid",MMS,0.634,101.837,0.502,ambient,-3.367,0.188,0.645,0.144,72,Meditative Vibes,2024-08-08,0.0341,8,219628,0.677,meditative
Harry Styles,From the Dining Table,0.156,94.08,0.671,ambient,-16.288,0.113,0.201,0.0371,69,Dark Academia,2017-05-12,0.0518,8,211960,0.804,academic
Lil Tecca,Down With Me,0.588,114.929,0.712,hip-hop,-5.332,0.21,0.471,0.0543,70,Melodic Rap,2024-01-19,0.0,9,120035,0.112,melodic
ABBA,Take A Chance On Me,0.675,107.064,0.684,pop,-8.123,0.242,0.924,0.0257,74,Throwback Party,1977,0.0,11,243933,0.163,throwback
"Joyce Santana, Feid",Ferxxoko,0.483,171.831,0.753,latin,-6.436,0.0681,0.826,0.273,72,Viva Latino,2024-10-31,0.0,3,177209,0.0189,modern
Beéle,Frente al Mar,0.682,100.036,0.75,latin,-3.825,0.112,0.618,0.0945,79,Viva Latino,2024-09-26,1.28e-06,10,165178,0.168,modern
Sabrina Carpenter,Please Please Please,0.586,107.071,0.669,pop,-6.073,0.104,0.579,0.054,88,Today's Top Hits,2024-06-06,0.0,9,186365,0.274,mainstream
a-ha,Take on Me,0.902,84.412,0.573,pop,-7.638,0.0928,0.876,0.054,84,Throwback Party,1985-06-01,0.00125,6,225280,0.018,throwback
Tom Odell,Another Love,0.537,122.769,0.445,pop,-8.532,0.0944,0.131,0.04,86,Soft Pop Hits,2013-06-24,1.65e-05,4,244360,0.695,soft
Linkin Park,BURN IT DOWN,0.972,110.006,0.585,rock,-4.45,0.0707,0.585,0.0534,76,Alternative Rock,2012-06-19,0.0,9,230253,0.0143,alternative
"ZICO, JENNIE",SPOT!,0.782,108.038,0.875,k-pop,-3.905,0.113,0.906,0.078,78,K-Pop Daebak,2024-04-26,0.0,5,167707,0.151,modern
"Trap Capos, Noriel, Anuel AA, Baby Rasta",Diablita (feat. Anuel AA & Baby Rasta),0.631,129.902,0.807,hip-hop,-4.883,0.117,0.126,0.111,70,Trap,2016-10-07,0.0,8,213613,0.407,trap
One Direction,Story of My Life,0.663,121.07,0.6,pop,-5.802,0.119,0.286,0.0477,86,Soft Pop Hits,2013-11-25,0.0,3,245493,0.225,soft
The Emotions,Best of My Love,0.713,115.443,0.784,pop,-6.865,0.0904,0.97,0.0339,73,Throwback Party,1977-06-10,0.14,0,220560,0.447,throwback
"Ebru Yaşar, Siyam, Zeyd",Kafamın İçi,0.724,78.753,0.536,turkish,-6.84,0.116,0.587,0.152,68,Turkish Pop,2024-05-22,0.0,9,142000,0.748,pop
Brent Faiyaz,Rehab (Winter In Paris),0.242,144.211,0.549,r&b,-11.692,0.127,0.286,0.038,71,R&B Hits,2020-02-07,8.1e-05,5,180304,0.809,modern
Beyoncé,Halo,0.72,79.983,0.508,blues,-5.908,0.0563,0.472,0.0628,71,Classic Blues,2008-11-17,0.0,11,261640,0.272,classic
Avril Lavigne,What the Hell,0.926,149.976,0.578,punk,-3.689,0.14,0.877,0.0548,71,Pop Punk Powerhouses,2011-03-08,0.0127,6,220707,0.00472,pop punk
"Drake, Young Thug, 21 Savage",It's Up (feat. Young Thug & 21 Savage),0.723,139.942,0.783,hip-hop,-4.881,0.159,0.294,0.135,76,RapCaviar,2024-08-30,0.0,1,278001,0.0264,modern
"Myke Towers, Peso Pluma",SE TE NOTA (feat. Peso Pluma),0.616,104.008,0.773,latin,-4.516,0.145,0.25,0.0416,72,Viva Latino,2024-08-22,4.24e-05,0,190107,0.0565,modern
"Tiësto, Soaky Siren",Tantalizing,0.888,123.031,0.671,electronic,-4.285,0.0951,0.412,0.0412,69,Techno Bunker,2024-11-08,0.0106,10,146341,0.0022,techno
"Tyler, The Creator, Kali Uchis",See You Again (feat. Kali Uchis),0.559,78.558,0.558,pop,-9.222,0.109,0.62,0.0959,90,Global Top 50,2017-07-21,7.49e-06,6,180387,0.371,global
The Wanted,Glad You Came,0.851,126.885,0.722,pop,-3.873,0.108,0.452,0.0639,76,Throwback Party,2011-01-01,0.0,7,197936,0.0319,throwback
John Legend,All of Me,0.264,119.93,0.422,pop,-7.064,0.132,0.331,0.0322,83,Soft Pop Hits,2013-08-30,0.0,8,269560,0.922,soft
"Shawn Mendes, Camila Cabello",Señorita,0.54,116.947,0.759,pop,-6.039,0.0945,0.75,0.0287,75,Soft Pop Hits,2019-06-21,0.0,9,190960,0.037,soft
"Ariana Grande, Justin Bieber",Stuck with U (with Justin Bieber),0.45,178.765,0.597,pop,-6.658,0.382,0.537,0.0418,78,Soft Pop Hits,2020-05-08,0.0,8,228482,0.223,soft
"Lost Frequencies, Tom Odell",Black Friday (pretty like the sun),0.618,126.031,0.853,electronic,-10.833,0.0972,0.32,0.0923,83,Techno Bunker,2024-07-19,0.89,6,145599,0.633,techno
Coldplay,Paradise,0.585,139.631,0.449,pop,-6.761,0.0833,0.212,0.0268,81,Soft Pop Hits,2011-10-24,8.75e-05,5,278719,0.0509,soft
"Disclosure, Eliza Doolittle, Rivo",You & Me - Rivo Remix,0.797,122.011,0.702,electronic,-6.635,0.179,0.0356,0.0557,79,Afro House,2023-12-22,0.495,10,208525,0.583,afro house
HUMBE,AMOR DE CINE,0.586,189.978,0.326,latin,-7.966,0.0787,0.295,0.0605,71,Chill Spanish Vibes,2021-11-11,0.0,6,262309,0.531,chill
"Lil Peep, XXXTENTACION",Falling Down - Bonus Track,0.574,120.013,0.669,hip-hop,-6.442,0.146,0.273,0.0286,84,Chill Hop,2018-11-09,0.00294,4,196400,0.0175,chill
